,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020,2030,2040
New Jersey,"184,139","211,149","245,555","277,575","320,823","373,306","489,555","672,035","906,096","1,131,116","1,444,933","1,883,669","2,537,167","3,155,900","4,041,334","4,160,165","4,835,329","6,066,782","7,168,164","7,364,823","7,730,188","8,414,350","8,791,894","9,111,014","9,432,224","9,556,978"
New Mexico,,,,,,,,,,,,,,"360,350","423,317","531,818","681,187","951,023","1,016,000","1,302,894","1,515,069","1,819,046","2,059,179","2,108,851","2,157,549","2,160,402"
New York,"340,120","586,050","959,049","1,372,812","1,918,608","2,428,921","3,097,394","3,880,735","4,382,759","5,082,871","6,003,174","7,268,894","9,113,614","10,385,227","12,588,066","13,479,142","14,830,192","16,782,304","18,236,967","17,558,072","17,990,455","18,976,457","19,378,102","20,181,453","20,996,975","21,380,610"
North Carolina,"393,751","478,103","556,526","638,829","737,987","753,419","869,039","992,622","1,071,361","1,399,750","1,617,947","1,893,810","2,206,287","2,559,123","3,170,276","3,571,623","4,061,929","4,556,155","5,082,059","5,881,766","6,628,637","8,049,313","9,535,483","10,525,024","11,605,573","12,524,753"
North Dakota,,,,,,,,,,,"190,983","319,146","577,056","646,872","680,845","641,935","619,636","632,446","617,761","652,717","638,800","642,200","672,591","842,308","938,167","1,044,934"
Ohio,,,"230,760","581,434","937,903","1,519,467","1,980,329","2,339,511","2,665,260","3,198,062","3,672,316","4,157,545","4,767,121","5,759,394","6,646,697","6,907,612","7,946,627","9,706,397","10,652,017","10,797,630","10,847,115","11,353,140","11,536,504","11,683,458","11,820,388","11,704,452"
Oklahoma,,,,,,,,,,,,,"1,657,155","2,028,283","2,396,040","2,336,434","2,233,351","2,328,284","2,559,229","3,025,290","3,145,585","3,450,654","3,751,351","4,061,960","4,393,864","4,651,753"
Oregon,,,,,,,,"52,465","90,923","174,768","317,704","413,536","672,765","783,389","953,786","1,089,684","1,521,341","1,768,687","2,091,385","2,633,105","2,842,321","3,421,399","3,831,074","4,216,827","4,636,755","4,990,011"
Pennsylvania,"434,373","602,545","810,091","1,049,458","1,348,233","1,724,033","2,311,786","2,906,215","3,521,951","4,282,891","5,258,014","6,302,115","7,665,111","8,720,017","9,631,350","9,900,180","10,498,012","11,319,366","11,793,909","11,863,895","11,881,643","12,281,054","12,702,379","12,893,771","13,074,888","12,976,425"
Rhode Island,"68,825","69,122","76,931","83,059","97,199","108,830","147,545","174,620","217,353","276,531","345,506","428,556","542,610","604,397","687,497","713,346","791,896","859,488","946,725","947,154","1,003,464","1,048,319","1,052,567","1,059,685","1,065,779","1,049,098"
South Carolina,"249,073","345,591","415,115","502,741","581,185","594,398","668,507","703,708","705,606","995,577","1,151,149","1,340,316","1,515,400","1,683,724","1,738,765","1,899,804","2,117,027","2,382,594","2,590,516","3,121,820","3,486,703","4,012,012","4,625,364","5,154,774","5,739,003","6,253,488"
South Dakota[5],,,,,,,,,,,"348,600","401,570","583,888","636,547","692,849","642,961","652,740","680,514","665,507","690,768","696,004","754,844","814,180","900,612","995,219","1,076,362"
Tennessee,,"105,602","261,727","422,813","681,904","829,210","1,002,717","1,109,801","1,258,520","1,542,359","1,767,518","2,020,616","2,184,789","2,337,885","2,616,556","2,915,841","3,291,718","3,567,089","3,923,687","4,591,120","4,877,185","5,689,283","6,346,105","6,839,046","7,362,867","7,758,137"
Texas,,,,,,,"212,592","604,215","818,579","1,591,749","2,235,523","3,048,710","3,896,542","4,663,228","5,824,715","6,414,824","7,711,194","9,579,677","11,196,730","14,229,191","16,986,510","20,851,820","25,145,561","29,755,854","35,176,014","40,698,640"
Utah,,,,,,,,,,,,"276,749","373,351","449,396","507,847","550,310","688,862","890,627","1,059,273","1,461,037","1,722,850","2,233,169","2,763,885","3,222,596","3,753,660","4,279,204"
Vermont[6],,"154,465","217,713","235,764","280,652","291,948","314,120","315,098","330,551","332,286","332,422","343,641","355,956","352,428","359,611","359,231","377,747","389,881","444,330","511,456","562,758","608,827","625,741","626,314","626,258","612,877"
Virginia[7],"691,937","807,557","877,683","938,261","1,044,054","1,025,227","1,119,348","1,219,630","1,225,163","1,512,565","1,655,980","1,854,184","2,061,612","2,309,187","2,421,851","2,677,773","3,318,680","3,966,949","4,648,494","5,346,818","6,187,358","7,078,515","8,001,024","8,744,273","9,546,958","10,201,530"
Washington,,,,,,,,,,,"357,232","518,103","1,141,990","1,356,621","1,563,396","1,736,191","2,378,963","2,853,214","3,409,169","4,132,156","4,866,692","5,894,121","6,724,540","7,599,119","8,578,809","9,478,722"
West Virginia[8],,,,,,,,,"442,014","618,457","762,794","958,800","1,221,119","1,463,701","1,729,205","1,901,974","2,005,552","1,860,421","1,744,237","1,949,644","1,793,477","1,808,344","1,852,994","1,836,143","1,817,616","1,760,989"
Wisconsin,,,,,,,"305,391","775,881","1,054,670","1,315,497","1,693,330","2,069,042","2,333,860","2,632,067","2,939,006","3,137,587","3,434,575","3,951,777","4,417,731","4,705,767","4,891,769","5,363,675","5,686,986","5,848,732","6,009,031","6,042,354"
Wyoming,,,,,,,,,,,"60,705","92,531","145,965","194,402","225,565","250,742","290,529","330,066","332,416","469,557","453,588","493,782","563,626","607,219","653,525","688,396"
